category_ar,category_en,category_code,code,title_ar,title_en,risk_level,required_evidence,description_ar,description_en
,Mobile Devices Security,2-6,NCA-ECC-2-6-2,,The cybersecurity requirements for mobile devices security and BYOD must be implemented,MEDIUM,,,The cybersecurity requirements for mobile devices security and BYOD must be implemented. The cybersecurity requirements for mobile devices security and BYOD must include at least the following:
,Mobile Devices Security,2-6,NCA-ECC-2-6-3,,"-3 Secure wiping of organization’s data and information stored on mobile devices and BYOD in cases of device loss, theft",MEDIUM,,,"-3 Secure wiping of organization’s data and information stored on mobile devices and BYOD in cases of device loss, theft or after termination/separation from the organization."
,Mobile Devices Security,2-6,NCA-ECC-2-6-4,,The cybersecurity requirements for mobile devices security and BYOD must be reviewed periodically.,MEDIUM,,,The cybersecurity requirements for mobile devices security and BYOD must be reviewed periodically.
,Data and Information Protection,2-7,NCA-ECC-2-7-1,,"Cybersecurity requirements for protecting and handling data and information must be defined, documented and approved as",MEDIUM,,,"Cybersecurity requirements for protecting and handling data and information must be defined, documented and approved as per the related laws and regulations. The cybersecurity requirements for protecting and handling data and information must be"
,Data and Information Protection,2-7,NCA-ECC-2-7-2,,implemented,MEDIUM,,,implemented. The cybersecurity requirements for protecting and handling data and information must include at least the following:
,Data and Information Protection,2-7,NCA-ECC-2-7-3,,-3 Data and information privacy,MEDIUM,,,-3 Data and information privacy. The cybersecurity requirements for protecting and handling data and information must be reviewed
,Data and Information Protection,2-7,NCA-ECC-2-7-4,,periodically.,MEDIUM,,,periodically.
,Cryptography,2-8,NCA-ECC-2-8-1,,"Cybersecurity requirements for cryptography must be defined, documented and approved.",MEDIUM,,,"Cybersecurity requirements for cryptography must be defined, documented and approved."
,Cryptography,2-8,NCA-ECC-2-8-2,,The cybersecurity requirements for cryptography must be implemented,MEDIUM,,,The cybersecurity requirements for cryptography must be implemented. The cybersecurity requirements for cryptography must include at least the following:
,Cryptography,2-8,NCA-ECC-2-8-3,,-3 Encryption of data in-transit and at-rest as per classification and related laws and regulations.,MEDIUM,,,-3 Encryption of data in-transit and at-rest as per classification and related laws and regulations.
,Cryptography,2-8,NCA-ECC-2-8-4,,The cybersecurity requirements for cryptography must be reviewed periodically.,MEDIUM,,,The cybersecurity requirements for cryptography must be reviewed periodically.
,Backup and Recovery Management,2-9,NCA-ECC-2-9-1,,"Cybersecurity requirements for backup and recovery management must be defined, documented and approved.",MEDIUM,,,"Cybersecurity requirements for backup and recovery management must be defined, documented and approved."
,Backup and Recovery Management,2-9,NCA-ECC-2-9-2,,The cybersecurity requirements for backup and recovery management must be implemented,MEDIUM,,,The cybersecurity requirements for backup and recovery management must be implemented. The cybersecurity requirements for backup and recovery management must include at least the following:
,Backup and Recovery Management,2-9,NCA-ECC-2-9-3,,-2 Ability to perform quick recovery of data and systems after cybersecurity incidents.,MEDIUM,,,-2 Ability to perform quick recovery of data and systems after cybersecurity incidents.
,Backup and Recovery Management,2-9,NCA-ECC-2-9-4,,The cybersecurity requirements for backup and recovery management must be reviewed periodically.,MEDIUM,,,The cybersecurity requirements for backup and recovery management must be reviewed periodically.
,Vulnerabilities Management,2-10,NCA-ECC-2-10-1,,"Cybersecurity requirements for technical vulnerabilities management must be defined, documented and approved.",MEDIUM,,,"Cybersecurity requirements for technical vulnerabilities management must be defined, documented and approved."
,Vulnerabilities Management,2-10,NCA-ECC-2-10-2,,The cybersecurity requirements for technical vulnerabilities management must be implemented,MEDIUM,,,The cybersecurity requirements for technical vulnerabilities management must be implemented. The cybersecurity requirements for technical vulnerabilities management must include at least the following:
,Vulnerabilities Management,2-10,NCA-ECC-2-10-3,,-5 Subscription with authorized and trusted cybersecurity resources for up-to-date information and notifications on tech,MEDIUM,,,-5 Subscription with authorized and trusted cybersecurity resources for up-to-date information and notifications on technical vulnerabilities. The cybersecurity requirements for technical vulnerabilities management must be reviewed
,Vulnerabilities Management,2-10,NCA-ECC-2-10-4,,periodically.,MEDIUM,,,periodically.
,Penetration Testing,2-11,NCA-ECC-2-11-1,,"Cybersecurity requirements for penetration testing exercises must be defined, documented and approved.",MEDIUM,,,"Cybersecurity requirements for penetration testing exercises must be defined, documented and approved."
,Penetration Testing,2-11,NCA-ECC-2-11-2,,The cybersecurity requirements for penetration testing processes must be implemented,MEDIUM,,,The cybersecurity requirements for penetration testing processes must be implemented. The cybersecurity requirements for penetration testing processes must include at least the following:
,Penetration Testing,2-11,NCA-ECC-2-11-3,,"components including infrastructure, websites, web applications, mobile apps, email and remote access.",MEDIUM,,,"components including infrastructure, websites, web applications, mobile apps, email and remote access."
,Penetration Testing,2-11,NCA-ECC-2-11-4,,Cybersecurity requirements for penetration testing processes must be reviewed periodically.,MEDIUM,,,Cybersecurity requirements for penetration testing processes must be reviewed periodically.
,Cybersecurity Event Logs and Monitoring Management,2-12,NCA-ECC-2-12-1,,"Cybersecurity requirements for event logs and monitoring management must be defined, documented and approved.",MEDIUM,,,"Cybersecurity requirements for event logs and monitoring management must be defined, documented and approved."
,Cybersecurity Event Logs and Monitoring Management,2-12,NCA-ECC-2-12-2,,The cybersecurity requirements for event logs and monitoring management must be implemented,MEDIUM,,,The cybersecurity requirements for event logs and monitoring management must be implemented. The cybersecurity requirements for event logs and monitoring management must include at least the following:
,Cybersecurity Event Logs and Monitoring Management,2-12,NCA-ECC-2-12-3,,-5 Retention period for cybersecurity event logs (must be 12 months minimum),MEDIUM,,,-5 Retention period for cybersecurity event logs (must be 12 months minimum). The cybersecurity requirements for event logs and monitoring management must be reviewed
,Cybersecurity Event Logs and Monitoring Management,2-12,NCA-ECC-2-12-4,,periodically.,MEDIUM,,,periodically.
,Cybersecurity Incident and Threat Management,2-13,NCA-ECC-2-13-1,,"Requirements for cybersecurity incidents and threat management must be defined, documented and approved.",MEDIUM,,,"Requirements for cybersecurity incidents and threat management must be defined, documented and approved."
,Cybersecurity Incident and Threat Management,2-13,NCA-ECC-2-13-2,,The requirements for cybersecurity incidents and threat management must be implemented,MEDIUM,,,The requirements for cybersecurity incidents and threat management must be implemented. The requirements for cybersecurity incidents and threat management must include at least the following:
,Cybersecurity Incident and Threat Management,2-13,NCA-ECC-2-13-3,,-5 Collecting and handling threat intelligence feeds,MEDIUM,,,-5 Collecting and handling threat intelligence feeds. The requirements for cybersecurity incidents and threat management must be reviewed
,Cybersecurity Incident and Threat Management,2-13,NCA-ECC-2-13-4,,periodically.,MEDIUM,,,periodically.
,Physical Security,2-14,NCA-ECC-2-14-1,,"Cybersecurity requirements for physical protection of information and technology assets must be defined, documented and",MEDIUM,,,"Cybersecurity requirements for physical protection of information and technology assets must be defined, documented and approved. The cybersecurity requirements for physical protection of information and technology assets must"
,Physical Security,2-14,NCA-ECC-2-14-2,,be implemented,MEDIUM,,,be implemented. The cybersecurity requirements for physical protection of information and technology assets must include at least the following:
,Physical Security,2-14,NCA-ECC-2-14-3,,-1 Authorized access to sensitive areas within the organization (e,MEDIUM,,,"-1 Authorized access to sensitive areas within the organization (e.g., data center, disaster recovery center, sensitive information processing facilities, security surveillance center, network cabinets)."
,Physical Security,2-14,NCA-ECC-2-14-4,,be reviewed periodically.,MEDIUM,,,be reviewed periodically.
,Web Application Security,2-15,NCA-ECC-2-15-1,,"Cybersecurity requirements for external web applications must be defined, documented and approved.",MEDIUM,,,"Cybersecurity requirements for external web applications must be defined, documented and approved."
,Web Application Security,2-15,NCA-ECC-2-15-2,,The cybersecurity requirements for external web applications must be implemented,MEDIUM,,,The cybersecurity requirements for external web applications must be implemented. The cybersecurity requirements for external web applications must include at least the following:
,Web Application Security,2-15,NCA-ECC-2-15-3,,-4 Clarification of the secure usage policy for users.,MEDIUM,,,-4 Clarification of the secure usage policy for users.
,Web Application Security,2-15,NCA-ECC-2-15-4,,The cybersecurity requirements for external web applications must be reviewed periodically.,MEDIUM,,,The cybersecurity requirements for external web applications must be reviewed periodically.
,Cybersecurity Resilience Aspects of Business Continuity Management (BCM),3-1,NCA-ECC-3-1-1,,"Cybersecurity requirements for business continuity management must be defined, documented and approved.",MEDIUM,,,"Cybersecurity requirements for business continuity management must be defined, documented and approved."
,Cybersecurity Resilience Aspects of Business Continuity Management (BCM),3-1,NCA-ECC-3-1-2,,The cybersecurity requirements for business continuity management must be implemented,MEDIUM,,,The cybersecurity requirements for business continuity management must be implemented. The cybersecurity requirements for business continuity management must include at least the following:
,Cybersecurity Resilience Aspects of Business Continuity Management (BCM),3-1,NCA-ECC-3-1-3,,-2 Developing response plans for cybersecurity incidents that may affect the business continuity.,MEDIUM,,,-2 Developing response plans for cybersecurity incidents that may affect the business continuity.
,Cybersecurity Resilience Aspects of Business Continuity Management (BCM),3-1,NCA-ECC-3-1-4,,The cybersecurity requirements for business continuity management must be reviewed periodically.,MEDIUM,,,The cybersecurity requirements for business continuity management must be reviewed periodically.
,Third-Party Cybersecurity,4-1,NCA-ECC-4-1-1,,"Cybersecurity requirements for contracts and agreements with third-parties must be identified, documented and approved",MEDIUM,,,"Cybersecurity requirements for contracts and agreements with third-parties must be identified, documented and approved. The cybersecurity requirements for contracts and agreements with third-parties (e.g., Service Level Agreement (SLA)) -which may affect, if impacted, the organization’s data or services- must include at least the following:"
,Third-Party Cybersecurity,4-1,NCA-ECC-4-1-2,,"-3 Requirements for third-parties to comply with related organizational policies and procedures, laws and regulations",MEDIUM,,,"-3 Requirements for third-parties to comply with related organizational policies and procedures, laws and regulations. The cybersecurity requirements for contracts and agreements with IT outsourcing and managed services third-parties must include at least the following:"
,Third-Party Cybersecurity,4-1,NCA-ECC-4-1-3,,-2 Cybersecurity managed services centers for monitoring and operations must be completely present inside the Kingdom of,MEDIUM,,,-2 Cybersecurity managed services centers for monitoring and operations must be completely present inside the Kingdom of Saudi Arabia. The cybersecurity requirements for contracts and agreements with third-parties must be reviewed
,Third-Party Cybersecurity,4-1,NCA-ECC-4-1-4,,periodically.,MEDIUM,,,periodically.
,Cloud Computing and Hosting Cybersecurity,4-2,NCA-ECC-4-2-1,,"Cybersecurity requirements related to the use of hosting and cloud computing services must be defined, documented and ap",MEDIUM,,,"Cybersecurity requirements related to the use of hosting and cloud computing services must be defined, documented and approved. The cybersecurity requirements related to the use of hosting and cloud computing services must be"
,Cloud Computing and Hosting Cybersecurity,4-2,NCA-ECC-4-2-2,,implemented,MEDIUM,,,"implemented. In line with related and applicable laws and regulations, and in addition to the applicable ECC controls from main domains (1), (2), (3) and subdomain (4-1), the cybersecurity requirements related to the use of hosting and cloud computing services must include at least the following:"
,Cloud Computing and Hosting Cybersecurity,4-2,NCA-ECC-4-2-3,,-3 Organization’s information hosting and storage must be inside the Kingdom of Saudi Arabia,MEDIUM,,,-3 Organization’s information hosting and storage must be inside the Kingdom of Saudi Arabia. The cybersecurity requirements related to the use of hosting and cloud computing services must
,Cloud Computing and Hosting Cybersecurity,4-2,NCA-ECC-4-2-4,,be reviewed periodically.,MEDIUM,,,be reviewed periodically.
,Industrial Control Systems (ICS) Protection,5-1,NCA-ECC-5-1-1,,"Cybersecurity requirements related to Industrial Controls Systems and Operational Technology (ICS/OT) must be defined, d",MEDIUM,,,"Cybersecurity requirements related to Industrial Controls Systems and Operational Technology (ICS/OT) must be defined, documented and approved. The cybersecurity requirements related to Industrial Controls Systems and Operational Technology"
,Industrial Control Systems (ICS) Protection,5-1,NCA-ECC-5-1-2,,(ICS/OT) must be implemented,MEDIUM,,,"(ICS/OT) must be implemented. In addition to the applicable ECC controls from the main domains (1), (2), (3) and (4), the cybersecurity requirements related to Industrial Controls Systems and Operational Technology (ICS/OT) must include at least the following:"
,Industrial Control Systems (ICS) Protection,5-1,NCA-ECC-5-1-3,,-10 Cybersecurity applications management related to the protection of the industrial systems from viruses and malware,MEDIUM,,,-10 Cybersecurity applications management related to the protection of the industrial systems from viruses and malware. The cybersecurity requirements related to Industrial Controls Systems and Operational Technology
